2	ALL1_3
1247	Tos_31_374
1254	Tos_82_387
1256	Tos_93_391
6244	TRA_01
9469	Tur_3
9470	Tur_4
6258	TV_10
6268	TV_22
6276	TV_30
6284	TV_38
6252	TV_4
6255	TV_7
6411	Ull1_10
8427	Ull2_13
6412	Ull2_7
6413	Ull3_4
9471	UllA_1
9472	UllA_2
9476	VarA_1
1026	VM_12
9481	Yst_1
9482	Yst_2
9490	02B6
9496	09A3
9504	12A1
9499	13B5
5711	Asp_1
5729	Coc_1
5731	Crl_1
5819	Edi_1
9302	Edinburgh_5
9305	Edinburgh_8
466	EM_134
461	EM_183
7109	Ema_1
5741	For_2
5742	Frd_1
5745	Hil_1
5746	Igt_1
8238	Kent
7192	Kil_0
5751	Kyl_1
5767	Poo_1
5772	Set_1
5774	Sis_1
5805	UKID101
5807	UKID103
5812	UKID108
5813	UKID109
5817	UKID113
5826	UKID120
5721	UKID14
5722	UKID15
5724	UKID17
5735	UKID28
5738	UKID33
5739	UKID34
5740	UKID35
5744	UKID39
5759	UKID54
5760	UKID55
5763	UKID57
5762	UKID58
5769	UKID64
5770	UKID65
5777	UKID72
5785	UKID80
5792	UKID87
5716	UKID9
5802	UKID98
5364	UKNW06_019
5373	UKNW06_040
5377	UKNW06_050
5385	UKNW06_078
5386	UKNW06_079
5394	UKNW06_101
5398	UKNW06_105
5444	UKNW06_170
5450	UKNW06_178
5461	UKNW06_197
5466	UKNW06_202
5469	UKNW06_210
5494	UKNW06_259
5517	UKNW06_306
5536	UKNW06_355
5582	UKNW06_410
5590	UKNW06_418
5596	UKNW06_425
5645	UKNW06_482
5670	UKNW99_010
5678	UKNW99_025
4980	UKSE06_032
5106	UKSE06_254
5141	UKSE06_311
5145	UKSE06_315
5159	UKSE06_350
5175	UKSE06_373
5282	UKSE06_544
5292	UKSE06_556
5299	UKSE06_565
5310	UKSE06_581
5322	UKSE06_597
5331	UKSE06_618
5335	UKSE06_622
5337	UKSE06_624
5339	UKSE06_626
5350	UKSE06_640
4632	UKSW06_025
4675	UKSW06_070
4757	UKSW06_157
4820	UKSW06_220
4827	UKSW06_227
4862	UKSW06_262
4879	UKSW06_280
4927	UKSW06_329
4935	UKSW06_337
9308	Ullapool_3
9309	Ullapool_4
5789	Wis_1
1925	MNF_Che_2
2187	Pent_1
CS20	Ler_0
CS6839	Po_0
CS6857	Sf_2
CS6889	Wil_2
CS6897	Wu_0
CS6902	Zu_0
8719	1130PNA1.10
8608	11ME1.23
8612	11ME1.34
8616	11ME1.41
8617	11ME1.42
8619	11ME1.44
8629	11ME2.10
8631	11ME2.12
8640	11ME2.5
8724	11PNA1.15
8725	11PNA1.4
8727	11PNA1.6
8730	11PNA1.9
8759	11PNA3.18
8760	11PNA3.19
8768	11PNA3.63
8770	11PNA3.65
8774	11PNA3.71
8777	11PNA3.75
8787	11PNA3.86
8791	11PNA3.90
8796	11PNA4.101
8805	11PNA4.110
8811	11PNA4.116
8824	11PNA4.129
8534	328ME007
8557	328ME032
8673	328PNA032
8687	328PNA047
8690	328PNA051
8695	328PNA057
8701	328PNA064
7566	627ME_13Y1
7570	627ME_4MI1
7578	627PNA_1Y1
7580	627PNA_2B3
7584	627PNA_3M4
5713	Bea_1
5715	Bid_1
7024	Bla_6
7034	Blh_1
5717	Bra_1
7033	Buckhorn_Pass
5720	Cal_2
5723	Chr_1
7079	Co_3
946	CON_6
5733	Cul_1
5896	DraIV_1_14
5887	DraIV_1_5
5987	DraIV_6_16
6005	DraIV_6_35
5820	Edi_2
7117	El_0
936	FOR_5
7152	Go_2
7172	Hl_3
7168	Hodja_Obi_Garm
7176	Is_1
7462	Je54
7423	Jl_2
7425	Jl_4
1718	KBS_Mac_15
1719	KBS_Mac_16
1720	KBS_Mac_17
1722	KBS_Mac_23
1724	KBS_Mac_28
1726	KBS_Mac_33
1729	KBS_Mac_41
1730	KBS_Mac_43
1733	KBS_Mac_53
1736	KBS_Mac_58
1738	KBS_Mac_64
1740	KBS_Mac_72
1742	KBS_Mac_73
1743	KBS_Mac_75
1744	KBS_Mac_76
1745	KBS_Mac_78
1749	KBS_Mac_88
1750	KBS_Mac_89
1751	KBS_Mac_91
1752	KBS_Mac_95
1753	KBS_Mac_96
1782	Ker_38
7717	KNO1.37
7787	KNO2.77
5749	Ksk_1
5750	Ksk_2
827	KYF_21
1799	L_R_12
5752	Lan_1
5755	Lha_1
7223	Li_2:1
607	LI_OF_002
615	LI_OF_023
623	LI_OF_042
627	LI_OF_060
631	LI_OF_066
640	LI_OF_094
719	LI_SET_009
7239	Ll_2
7242	Lo_2
895	MAW_7
1829	Mdn_1
7837	ME3.41
7847	ME3.51
7867	ME4.20
1926	MNF_Che_3
1936	MNF_Che_36
1938	MNF_Che_41
1941	MNF_Che_45
1948	MNF_Che_58
1949	MNF_Jac_2
1959	MNF_Jac_21
1960	MNF_Jac_22
1963	MNF_Jac_26
1965	MNF_Jac_30
1966	MNF_Jac_31
1968	MNF_Jac_34
1981	MNF_Jac_68
1952	MNF_Jac_9
1992	MNF_Pin_2
2011	MNF_Pin_31
2016	MNF_Pin_39
2019	MNF_Pin_43
2020	MNF_Pin_44
1853	MNF_Pot_21
1857	MNF_Pot_46
1858	MNF_Pot_47
1862	MNF_Pot_56
1864	MNF_Pot_60
1865	MNF_Pot_61
1868	MNF_Pot_69
1872	MNF_Pot_75
1871	MNF_Pot_76
1873	MNF_Pot_79
1850	MNF_Pot_8
1874	MNF_Pot_80
1918	MNF_Riv_67
7276	Ob_0
7281	Old_2
7287	Ove_0
7292	Pa_3
260	PAR_5
2148	Paw_1
2157	Paw_11
2160	Paw_14
2171	Paw_26
2175	Paw_31
2151	Paw_4
2180	Paw_40
2201	Pent_22
2204	Pent_30
2214	Pent_49
7297	Pf_0
7299	Pi_2
7303	Pla_3
7309	Po_1
7305	Pt_0
8077	PT2.21
7317	Ri_0
7457	Rld_2
8122	RMX3.11
8954	RMX413.1
8957	RMX413.12
8961	RMX413.16
8962	RMX413.17
8965	RMX413.2
8966	RMX413.20
8967	RMX413.21
8969	RMX413.24
8970	RMX413.25
8973	RMX413.29
8975	RMX413.30
8976	RMX413.31
8977	RMX413.32
8985	RMX413.4
8992	RMX413.48
8996	RMX413.51
9001	RMX413.57
9004	RMX413.6
9006	RMX413.62
9007	RMX413.63
9008	RMX413.66
9011	RMX413.69
9012	RMX413.7
9041	RMXF413.10
9045	RMXF413.15
9053	RMXF413.6
1416	Rod_45
6962	Shahdara
2280	SLSP_58
2283	SLSP_72
7463	Sn(5)_1
2300	Ste_15
2290	Ste_3
2316	Ste_37
2292	Ste_6
2294	Ste_9
5782	Su_1
6177	TOL_03
6180	TOL_07
6190	TDr_3
7352	Te_0
6212	TFO_02
6214	TFO_04
6215	TFO_05
6216	TFO_06
6217	TFO_07
6218	TFO_08
362	TOU_C_3
373	TOU_H_12
6244	TRO_01
7376	Tu_1
5784	Ty_1
6318	UduI_1_34
7381	Uk_4
5708	UKID1
5804	UKID100
5816	UKID112
5821	UKID115
5709	UKID2
5727	UKID20
5728	UKID21
5730	UKID23
5732	UKID25
5710	UKID3
5737	UKID32
5712	UKID5
5756	UKID51
5758	UKID53
5780	UKID75
5781	UKID76
5787	UKID82
5788	UKID83
5793	UKID88
5795	UKID90
5798	UKID93
5799	UKID95
5803	UKID99
5380	UKNW06_059
5381	UKNW06_060
4997	UKSE06_062
5133	UKSE06_302
5146	UKSE06_316
5202	UKSE06_414
5207	UKSE06_429
5232	UKSE06_466
5245	UKSE06_482
5264	UKSE06_520
5341	UKSE06_628
8428	Uod_2
7386	Vi_0
7404	Wc_1
7403	Wei_1
2327	Wilcox_16
2320	Wilcox_4
2338	Wilcox_41
7406	Wt_1
6448	ZdrI_2_24
6449	ZdrI_2_25
CS28069	Bg_2
CS28123	Buckhorn_Pass
CS28167	Col_0
CS28388	Kin_0
CS28843	Yo_0
CS28647	Pna_17
CS28646	Pna_10
CS28689	Rmx_A02
CS28690	Rmx_A180
CS28713	RRS_7
CS28714	RRS_10
8245	Seattle_0
CS28406	Kno_10
CS28415	Kno_18
CS28812	WAR
CS28160	Cnt_1
CS28154	CIBC_17
CS28143	CIBC_5
CS28355	HR_10
CS28353	HR_5
CS28746	Sq_1
CS28748	Sq_8
CS28053	Ba_1
CS28221	Edi_0
8323	Lc_0
CS28533	NFA_10
CS28532	NFA_8
CS28076	Bil_5
CS28077	Bil_7
6009	Eden_1
CS28219	Eden_2
6043	L_v_1
6046	L_v_5
CS28791	Ull2_3
CS28792	Ull2_5
8334	Lu_1
8351	Ost_0
8387	St_0
CS28744	Spr1_2
CS28745	Spr1_6
CS28585	ÉM_2_1
CS28586	ÉM_2_3
CS28798	VÎr2_1
CS28799	VÎr2_6
CS28247	F_b_2
CS28248	F_b_4
CS28674	Ren_1
CS28678	Ren_11
CS28010	Ag_0
8275	Cen_0
8329	Lm_2
CS28483	Lz_0
8343	Na_1
CS28666	Ra_0
CS28334	Gy_0
CS28245	Est_1
8354	Per_1
CS28600	Petergof
8374	Rsch_4
8388	Stw_0
CS28825	Ws_0
CS28828	Ws_2
CS28519	N13
CS28418	Kondara
CS28736	Shahdara
CS28742	Sorbo
5837	Bor_1
CS28093	Bor_4
CS28844	Zdr_1
CS28845	Zdr_6
CS28095	Br_0
CS28369	Jl_3
8265	Blh_1
8313	Jm_0
8365	Rak_2
8378	Sap_0
8389	Ta_0
CS28655	Pu2_23
CS28654	Pu2_7
CS28658	Pu2_8
CS28479	Lp2_2
CS28480	Lp2_6
CS28335	H55
8412	Sav_0
CS28201	D_1_12
8300	Gr_1
CS28793	Uod_1
CS28794	Uod_7
8311	In_0
8314	Ka_0
8274	Can_0
CS28012	Alc_0
8264	Bla_1
CS28470	LL_0
8357	Pla_0
CS28727	Se_0
CS28772	Ts_1
CS28776	Ts_5
CS28652	Pro_0
CS28196	Ct_1
8337	Mir_0
8353	Pa_1
8395	Tu_0
CS28497	Mr_0
8243	PHW_2
CS28307	Got_22
CS28291	Got_7
CS28007	Aa_0
CS28056	Bay_0
8271	Bu_0
CS28128	Ca_0
CS28200	Da_0
CS28223	Ei_2
8290	En_1
CS28236	Ep_0
CS28273	Ga_0
CS28280	Gie_0
CS28331	Gu_0
8296	Gd_1
8310	Hs_0
CS28336	Ha_0
8312	Is_0
8420	Kelsterbach_4
CS28449	Ler_1
CS28461	Li_7
CS28499	Mrk_0
CS28506	Mz_0
CS28564	No_0
CS28587	Or_0
