1072/508	Basmati-Tall
1042/1	Begami-T-1
1294/709	Blomberg
1274/361	Boga-Joha
1277/364	Bogi-Joha
1273/360	Bokul-Joha
1264/297	BPT1235
1308/400	C.-Basmati
1313/553	Cemposelak
1312/431	Chini-Guri
1311/430	Chini-Sakkar
1299/146A	Chok-jye-bi-chal-263
1301/565	Chok-jye-bi-chal-264
1314/733	Chu-xiang-xion
CSR10	CSR-10
CSR11	CSR-11
CSR13	CSR13
CSR18	CSR18
1323/301A	D66
1327/766B	DM24
1318/56	Dulhaniya
HKR228	Haryana-Basmati-1(HKR228)
HBC19	HBC-19
HKR120	HKR-120
HKR126	HKR126
HKR93(401)	HKR93-401
RA1754	IR64
IR65600-38-1-2-1	New-plant-type-1
IR68552-100-1-2-2	New-plant-type-2
IR68011-15-1-1-2-3	New-plant-type-3
1061/16	Basmati-217
1187/195	Basmati-370(Bangladesh)
1072/508	Basmati-370(Pakistan)
1162/109	Basmati-370B
RA1594	IR36
RA1974	BS125
RA1730	Kasalath
RA1970	Kasalath
RA1526	13-0926
CIor9338	487A1-12
RA1519	83N1238
RA1536	Ai-Jiao-Jing
PI538235	Alan
PI400738	Apura
RA1971	Asominori
RA1295	Azucena
RA957	Barkat
PI385418	Basmati-122
PI561735	Bengal
RA300	BPI76
RA1546	Bu-Zhi-Huo
RA1519	Bulu-Dalam
PI600938	California-Belle
RA1899	California-Pearl
CIor12033	Carolina-Gold-Selection
RA1540	Cha-Mi-Li
IRGC2060	CI9425-2
IRGC5329	Cina(Tjina)
RA1968	CO39
RA693	CT5782-CA-31
RA715	CT8814-CA-18M
RA1534	Da-Bai-Gu
PI546364	Delmont
RA1452	EG1-2
RA1453	EG8-2
RA1537	Er-Bai-Li
RA333	Gihobyeo
RA1530	Guo-Yang-Gen
RA1826	HO12-1-1
RA1825	Honduras
CIor12258	Honduras-Sel
RA1539	Huang-Na-Gu
RA873	IR19661-364-1-2-3
RA483	IR20
RA811	IR24
RA472	IR64
PI572412	Jackson
PI595927	Jasmine-85
RA1977	Jing-Xi-17
PI230104	Jojutla
PI583278	Kaybonnet
PI547249	L-203
PI548772	LaCassine
PI568891	Lagrue
RA1538	Lao-Chao-Dao
RA1990	Lazy-Mutant
RA1451	LG10
RA1454	LG19-1
RA1455	LG19-2
RA1547	Liu-Shi-Dao
RA1532	Luo-Gu-Zao
RA1541	Man-Gu
RA334	Milyang23
PI549114	Orion
RA1993	P127
CIor9036	Penn-Gopher
IRGC32571	Peta
RA1531	Shen-Xian-Dao
RA1524	Si-Ji-Shui-Dong
RA1642	Sigadis
IRGC6012	SLO17
CIor3337	Smaguing
RA1640	T141
RA1469	Te-Ai
RA490	Tetep
RA1529	Tian-Luo-Huang
RA1991	W6154
RA1992	W6154B
CIor1496	Wanica
RA1517	Wase-Aikoku3
CIor1561	Wataribune
RA1544	Wen-Xuan-Qing
RA1528	Xiang-Ling-Sa-Gu
RA1516	Xiu-Shui-11
RA1527	Yan-Kou-Hong
RA1471	Zao-Er-Lu14
RA1470	Zao-Jiao-Zao-Dao
RA1472	ZAU9154
RA1484	ZAU9166
RA1485	ZAU9167
RA1485	ZAU9181
RA1976	Zhai-Ye-Qing8
RA1542	Zhong86-44
CIor9966	Calrose76
CIor1645	Carolina-Gold
CIor9980	M-201
CIor2647	Kinastano
CIor9881	B6616A4-22-Bk-5-4
CIor9970	M-101
PI527566	M-103
PI514277	S-101
PI536645	S-301
CIor9841	Stg-697717
RA1301	Gundil-Kuning
PI281857	H-4
RU8602195	IRGA409
RA797	Mudgo
PI483097	L-202
PI475833	Lemont
CIor9945	Mars
PI494105	M-202
PI514276	M-203
PI561736	Cypress
PI502968	Rexmont
CIor1779	Rexoro
PI546365	Rosemont
RA771	TKM6
RA469	IRAT177
RA130	Jambu
RA1382	DZ78
RA1415	OS6
RA486	DV85
RA765	I-Geo-Tze
RA806	Jaya
RA832	IR36
RA944	Suweon-362
NULL	Jefferson-x-Oryza-rufipogon
NULL	Caiapo-x-O.-rufipogon
NULL	Bala-x-Azucena
IRGC100896	O.-officinalis-IRGC100896
IRGC101232	O.-brachyantha-IRGC101232
IRGC101397	O.-australiensis-IRGC101397
IRTP23787	Nipponbare
	Tainung-67
IRGC59323	Li-Jiang-Xin-Tuan-Hei-Gu
